recipe_id,recipe_name,recipe_url,ingredients,cook_time,calorie_count,review_count,overall_rating
76552,raspberry-balsamic-chicken,https://www.allrecipes.com/recipe/76552/raspberry-balsamic-chicken/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76553,game-day-tortilla-soup,https://www.allrecipes.com/recipe/76553/game-day-tortilla-soup/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76554,choco-coffee,https://www.allrecipes.com/recipe/76554/choco-coffee/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76555,easy-as-ever-stroganoff,https://www.allrecipes.com/recipe/76555/easy-as-ever-stroganoff/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76556,cherry-chocolate-chunk-cookies,https://www.allrecipes.com/recipe/76556/cherry-chocolate-chunk-cookies/,"['2 1/4 cups unbleached all-purpose flour', '1 teaspoon baking soda', '1/2 teaspoon salt', '1/2 cup unsalted butter, softened', '1/2 cup butter flavored shortening (such as Crisco®)', '1/2 cup white sugar', '3/4 cup brown sugar', '2 eggs', '1 1/2 teaspoons vanilla extract', '1 1/2 teaspoons almond extract', '1 cup dried tart cherries', '3/4 cup chopped walnuts', '1/2 cup chopped pecans', '1 (12 ounce) bag semi-sweet chocolate chunks (such as SACO®)']",2 h,162  cals,44 reviews,4.699999809
76557,chicken-soup-with-a-kick,https://www.allrecipes.com/recipe/76557/chicken-soup-with-a-kick/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76558,orange-and-brazil-nut-cake,https://www.allrecipes.com/recipe/76558/orange-and-brazil-nut-cake/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76559,eggless-chewy-oatmeal-raisin-cookies,https://www.allrecipes.com/recipe/76559/eggless-chewy-oatmeal-raisin-cookies/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76560,the-best-blueberry-no-bake-cheesecake,https://www.allrecipes.com/recipe/76560/the-best-blueberry-no-bake-cheesecake/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
76561,hot-dog-octopus,https://www.allrecipes.com/recipe/76561/hot-dog-octopus/,"['1 (12 inch) pre-baked pizza crust', '1 1/2 cups shredded mozzarella cheese', '1 (14 ounce) jar pizza sauce', '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced', '1 (3.5 ounce) package sliced pepperoni']",30 m,505  cals,0 reviews,0
