recipe_id,recipe_url,calories,fat,carb,protein,cholesterol,sodium
254162,https://www.allrecipes.com/recipe/254162/spicy-cayenne-tomato-jam/,52 calories;,0.1 ,12.9,0.6 ,0 ,79 
254163,https://www.allrecipes.com/recipe/254163/nettles/,275 calories;,27.5 ,7.6,2.1 ,0 ,93 
254164,https://www.allrecipes.com/recipe/254164/creamed-stinging-nettles/,267 calories;,16.1 ,27.3,9.3 ,47 ,335 
254165,https://www.allrecipes.com/recipe/254165/spanish-roasted-pork-pernil/,362 calories;,25.2 ,3,26.4 ,100 ,1171 
254166,https://www.allrecipes.com/recipe/254166/turmeric-mango-smoothie/,253 calories;,8.5 ,45.5,4.5 ,0 ,12 
254167,https://www.allrecipes.com/recipe/254167/best-pernil-ever/,463 calories;,26.5 ,4.1,27.2 ,104 ,375 
254168,https://www.allrecipes.com/recipe/254168/daddy-eddies-roast-pork-pernil-puerto-rican-style/,355 calories;,23.7 ,2.2,31.8 ,112 ,966 
254169,https://www.allrecipes.com/recipe/254169/risotto-with-pigeon-peas-and-pulled-pork-risotto-con-gandules-y-pernil/,626 calories;,27.9 ,52.5,39.4 ,109 ,1941 
254170,https://www.allrecipes.com/recipe/254170/buttery-savory-scrambled-egg-nachos/,853 calories;,58.8 ,55.4,30.9 ,619 ,1017 
254171,https://www.allrecipes.com/recipe/254171/tofu-noodle-soup/,305 calories;,6.2 ,50.6,13.3 ,35 ,71 
254172,https://www.allrecipes.com/recipe/254172/chocolate-pudding-popsicles/,314 calories;,19.1 ,37,5.2 ,13 ,70 
254173,https://www.allrecipes.com/recipe/254173/classic-pudding-pops/,122 calories;,2.6 ,21.5,3.4 ,9 ,217 
254174,https://www.allrecipes.com/recipe/254174/grape-nuts-coconut-ice-cream/,161 calories;,13.6 ,9.7,2.5 ,0 ,108 
254175,https://www.allrecipes.com/recipe/254175/banana-ice-cream-topping/,147 calories;,0.6 ,36.1,1.6 ,< 1 ,7 
254176,https://www.allrecipes.com/recipe/254176/raw-nut-milk-ice-cream/,753 calories;,58.6 ,57.2,6.2 ,0 ,424 
254177,https://www.allrecipes.com/recipe/254177/decadent-vegan-chocolate-ice-cream/,448 calories;,38.6 ,32.5,6.3 ,0 ,318 
254178,https://www.allrecipes.com/recipe/254178/coco-nutty-granola/,180 calories;,12.5 ,15.9,3.2 ,0 ,413 
254179,https://www.allrecipes.com/recipe/254179/brussels-sprouts-with-toasted-almonds/,270 calories;,19 ,21,10.5 ,35 ,217 
254181,https://www.allrecipes.com/recipe/254181/fat-free-lemon-blueberry-zucchini-cake/,333 calories;,1.4 ,76.3,7.7 ,< 1 ,259 
254182,https://www.allrecipes.com/recipe/254182/fresh-spiced-peach-jam/,43 calories;,0 ,10.9,0 ,0 ,< 1 
254183,https://www.allrecipes.com/recipe/254183/aunt-patsis-easy-peach-jam/,84 calories;,0 ,21.3,0.4 ,0 ,16 
254184,https://www.allrecipes.com/recipe/254184/the-best-natural-peach-jam-or-filling/,127 calories;,0 ,31.5,0 ,0 ,2 
254185,https://www.allrecipes.com/recipe/254185/my-kiwi-hotdog-sauce/,28 calories;,1.8 ,2.6,0.1 ,< 1 ,300 
254186,https://www.allrecipes.com/recipe/254186/big-johns-oyster-motoyaki/,348 calories;,32 ,8.4,9 ,63 ,423 
254187,https://www.allrecipes.com/recipe/254187/japanese-coleslaw-with-sesame-seed-dressing/,126 calories;,8.7 ,12.1,1.7 ,2 ,134 
254188,https://www.allrecipes.com/recipe/254188/dehydrated-beet-chips/,113 calories;,3.7 ,17.9,3 ,0 ,1466 
254189,https://www.allrecipes.com/recipe/254189/family-friendly-watermelon-sorbet/,38 calories;,0.1 ,9.6,0.5 ,0 ,< 1 
254190,https://www.allrecipes.com/recipe/254190/dark-chocolate-sorbet/,121 calories;,1.5 ,30.8,2.1 ,0 ,23 
254191,https://www.allrecipes.com/recipe/254191/coconut-sorbet/,363 calories;,28 ,30.4,2.7 ,0 ,18 
254192,https://www.allrecipes.com/recipe/254192/limoncello-lemon-sorbet-with-or-without-mint/,163 calories;,0 ,39.9,0.2 ,0 ,4 
254193,https://www.allrecipes.com/recipe/254193/tea-sorbet/,130 calories;,0 ,33.6,0 ,0 ,3 
254194,https://www.allrecipes.com/recipe/254194/rhubarb-and-strawberry-dump-cake/,248 calories;,8.2 ,42.2,2.8 ,11 ,295 
254195,https://www.allrecipes.com/recipe/254195/jens-rumchata-trifle/,493 calories;,27 ,58.2,3.9 ,33 ,309 
254196,https://www.allrecipes.com/recipe/254196/rumchata-marinated-shrimp/,100 calories;,1.1 ,2.4,19 ,173 ,503 
254197,https://www.allrecipes.com/recipe/254197/chocolate-rumchata-dip/,116 calories;,4.4 ,15.7,1.1 ,2 ,166 
