recipe_id,recipe_url,calories,fat,carb,protein,cholesterol,sodium
220980,https://www.allrecipes.com/recipe/220980/chocolate-passover-sponge-cake/,215 calories;,6.3 ,36.1,6.6 ,155 ,60 
220981,https://www.allrecipes.com/recipe/220981/nancys-fruit-salad/,82 calories;,1 ,19.2,1.1 ,0 ,21 
220982,https://www.allrecipes.com/recipe/220982/marshmallow-and-fruit-salad/,232 calories;,5.3 ,46.2,1.7 ,0 ,190 
220983,https://www.allrecipes.com/recipe/220983/mustard-sauce/,133 calories;,2.5 ,25.8,2.6 ,46 ,18 
220984,https://www.allrecipes.com/recipe/220984/pineapple-orange-fruit-salad/,284 calories;,16 ,31.4,6.3 ,4 ,165 
220985,https://www.allrecipes.com/recipe/220985/traditional-muhammara-syrian-hot-pepper-dip/,236 calories;,21.6 ,9.3,3.7 ,0 ,53 
220986,https://www.allrecipes.com/recipe/220986/awesome-sauce/,33 calories;,0.1 ,8.2,0.5 ,< 1 ,41 
220987,https://www.allrecipes.com/recipe/220987/baked-bbq-baby-back-ribs/,488 calories;,22.9 ,51.8,18.9 ,88 ,3972 
220988,https://www.allrecipes.com/recipe/220988/goat-cheese-apple-walnut-pasta/,464 calories;,22 ,52.2,16.1 ,31 ,411 
220989,https://www.allrecipes.com/recipe/220989/maple-brined-pork-loin/,376 calories;,18.9 ,19.3,30.7 ,92 ,225 
220990,https://www.allrecipes.com/recipe/220990/artichoke-and-spinach-stuffed-shells/,660 calories;,40.5 ,54,22.1 ,100 ,1194 
220991,https://www.allrecipes.com/recipe/220991/chef-johns-asparagus-souffle/,239 calories;,16.2 ,10.9,14.1 ,199 ,657 
220992,https://www.allrecipes.com/recipe/220992/chicken-caesar-spring-rolls/,230 calories;,13.8 ,15.9,9.6 ,28 ,327 
220993,https://www.allrecipes.com/recipe/220993/chicken-chile-verde/,441 calories;,24.7 ,30,25.7 ,70 ,425 
220994,https://www.allrecipes.com/recipe/220994/chef-johns-scones/,237 calories;,9.9 ,33.4,4.6 ,44 ,301 
220995,https://www.allrecipes.com/recipe/220995/chef-johns-peach-cobbler/,562 calories;,16.9 ,99.3,5.3 ,46 ,536 
220996,https://www.allrecipes.com/recipe/220996/easy-homemade-pie-crust/,346 calories;,23.4 ,29.8,4.3 ,61 ,150 
220997,https://www.allrecipes.com/recipe/220997/chef-johns-caramel-apple-pie/,336 calories;,16.3 ,48.2,1.7 ,23 ,142 
220999,https://www.allrecipes.com/recipe/220999/not-so-sweet-baked-ham/,559 calories;,42.1 ,0.2,42 ,127 ,2939 
221000,https://www.allrecipes.com/recipe/221000/always-juicy-baked-ham/,576 calories;,42 ,3,42.1 ,127 ,2963 
221001,https://www.allrecipes.com/recipe/221001/alishas-scalloped-potatoes-and-ham/,407 calories;,20.6 ,38.6,17.4 ,59 ,836 
221002,https://www.allrecipes.com/recipe/221002/slow-cooker-ham-and-scalloped-potatoes/,394 calories;,16.4 ,41.7,20.1 ,51 ,741 
221003,https://www.allrecipes.com/recipe/221003/scalloped-potatoes-with-ham-and-bacon/,644 calories;,41.2 ,29,38.9 ,125 ,2710 
221004,https://www.allrecipes.com/recipe/221004/cheesy-scalloped-potatoes-with-ham/,337 calories;,15.9 ,31.3,17.7 ,59 ,910 
221005,https://www.allrecipes.com/recipe/221005/mint-crusted-rack-of-lamb/,681 calories;,52.9 ,20.2,29 ,122 ,625 
221006,https://www.allrecipes.com/recipe/221006/cherry-bomb-chicken/,490 calories;,25.3 ,22.6,41.5 ,129 ,5252 
221007,https://www.allrecipes.com/recipe/221007/candied-bacon/,187 calories;,10.4 ,13.9,9.2 ,27 ,577 
221008,https://www.allrecipes.com/recipe/221008/easy-raisin-sauce-for-ham/,77 calories;,0.1 ,20.1,0.4 ,0 ,5 
221009,https://www.allrecipes.com/recipe/221009/warm-orange-sauce/,158 calories;,5.9 ,22.3,0.3 ,15 ,43 
221010,https://www.allrecipes.com/recipe/221010/zippy-egg-salad/,389 calories;,34.2 ,5.2,15.5 ,439 ,639 
221011,https://www.allrecipes.com/recipe/221011/magical-egg-salad/,366 calories;,29 ,10.7,16.1 ,473 ,828 
221012,https://www.allrecipes.com/recipe/221012/delicious-avocado-egg-salad/,230 calories;,16.8 ,8.7,13.4 ,327 ,1497 
221013,https://www.allrecipes.com/recipe/221013/yogurt-egg-salad/,156 calories;,11.3 ,6.6,8.5 ,219 ,173 
221014,https://www.allrecipes.com/recipe/221014/carrot-cake-sandwich/,297 calories;,14.6 ,33.6,10.3 ,16 ,340 
221015,https://www.allrecipes.com/recipe/221015/carrot-cake-of-my-dreams/,337 calories;,10 ,58.3,5 ,< 1 ,379 
221016,https://www.allrecipes.com/recipe/221016/great-grandmas-peanut-butter-eggs/,408 calories;,24.9 ,44.3,8.4 ,0 ,195 
221017,https://www.allrecipes.com/recipe/221017/sister-beths-carrot-cake/,614 calories;,36 ,69.6,6.4 ,70 ,409 
221018,https://www.allrecipes.com/recipe/221018/raes-italian-bs-pasta-salad/,344 calories;,22.6 ,26.2,9.3 ,14 ,841 
221019,https://www.allrecipes.com/recipe/221019/grandmas-italian-grilled-cheese-sandwich/,289 calories;,13.6 ,27.3,14.3 ,122 ,826 
221020,https://www.allrecipes.com/recipe/221020/morgans-waldorf-salad/,364 calories;,29.7 ,25,2.9 ,20 ,153 
221021,https://www.allrecipes.com/recipe/221021/elises-favorite-waldorf-salad/,321 calories;,28.6 ,17.6,1.6 ,34 ,120 
221022,https://www.allrecipes.com/recipe/221022/waldorf-salad-nouveau/,327 calories;,21 ,35.6,4.5 ,6 ,392 
221023,https://www.allrecipes.com/recipe/221023/marlenes-chicken-waldorf-salad/,421 calories;,27 ,24.2,22 ,62 ,431 
221025,https://www.allrecipes.com/recipe/221025/everything-cupcakes/,303 calories;,18.3 ,30.6,5.6 ,4 ,259 
221026,https://www.allrecipes.com/recipe/221026/rockin-good-smashed-cauliflower-with-garlic/,134 calories;,11 ,7,3.9 ,29 ,132 
221028,https://www.allrecipes.com/recipe/221028/smashed-cauliflower-side-dish/,158 calories;,12.1 ,11,4.7 ,31 ,427 
221029,https://www.allrecipes.com/recipe/221029/crunchy-bok-choy-salad/,199 calories;,16 ,13,2.2 ,10 ,352 
221030,https://www.allrecipes.com/recipe/221030/edamame-salad/,348 calories;,21.5 ,21,22.7 ,0 ,360 
221031,https://www.allrecipes.com/recipe/221031/edamame-fresca/,319 calories;,10.1 ,40.2,19.9 ,0 ,545 
221032,https://www.allrecipes.com/recipe/221032/tart-lemon-drop-jelly-shots/,106 calories;,0.1 ,16.2,1.2 ,0 ,4 
221033,https://www.allrecipes.com/recipe/221033/lemon-syrup/,72 calories;,0 ,19.1,0.1 ,0 ,< 1 
221034,https://www.allrecipes.com/recipe/221034/meyer-lemon-pie/,316 calories;,15.1 ,42.9,3.9 ,85 ,184 
221035,https://www.allrecipes.com/recipe/221035/lemon-yogurt-dip/,137 calories;,10.1 ,8,6.4 ,22 ,66 
221036,https://www.allrecipes.com/recipe/221036/homemade-deviled-ham-sandwiches/,128 calories;,8.7 ,4.6,7.4 ,23 ,624 
221037,https://www.allrecipes.com/recipe/221037/ham-pate/,109 calories;,9.2 ,0.8,5.5 ,18 ,524 
221038,https://www.allrecipes.com/recipe/221038/deviled-smoked-ham-spread/,235 calories;,17.3 ,6.8,12.3 ,91 ,1000 
221039,https://www.allrecipes.com/recipe/221039/homemade-deviled-ham-spread/,53 calories;,4.5 ,0.8,2.5 ,8 ,240 
221040,https://www.allrecipes.com/recipe/221040/lucys-ham-spread/,357 calories;,26.3 ,5.1,24.3 ,80 ,1784 
221041,https://www.allrecipes.com/recipe/221041/wine-braised-beef-brisket/,327 calories;,25.1 ,3.3,18.4 ,69 ,649 
221042,https://www.allrecipes.com/recipe/221042/sweet-and-sour-brisket/,580 calories;,35.7 ,35.4,25.1 ,92 ,743 
221043,https://www.allrecipes.com/recipe/221043/sensational-slow-cooked-beef-brisket/,624 calories;,46.1 ,16.5,26.8 ,93 ,1837 
221044,https://www.allrecipes.com/recipe/221044/alanes-hanukkah-brisket/,394 calories;,26.6 ,11.3,22.1 ,78 ,1050 
221045,https://www.allrecipes.com/recipe/221045/sweet-and-savory-brisket/,372 calories;,19.3 ,22.3,27.3 ,91 ,922 
221046,https://www.allrecipes.com/recipe/221046/charoses/,452 calories;,33.1 ,42.5,4.8 ,0 ,3 
221047,https://www.allrecipes.com/recipe/221047/my-kentucky-derby-dessert/,896 calories;,63.2 ,81.1,8.8 ,150 ,341 
221048,https://www.allrecipes.com/recipe/221048/bourbon-wieners/,231 calories;,13.3 ,15.6,5.3 ,24 ,648 
221049,https://www.allrecipes.com/recipe/221049/easy-whiskey-slush/,245 calories;,0.1 ,31.5,0.4 ,0 ,17 
221050,https://www.allrecipes.com/recipe/221050/race-day-salsa/,129 calories;,0.6 ,26.1,7.2 ,0 ,363 
221051,https://www.allrecipes.com/recipe/221051/horsey-eggs/,46 calories;,3.4 ,0.4,3.3 ,108 ,33 
221052,https://www.allrecipes.com/recipe/221052/honey-skirt-steak-appetizer-with-horsey-sauce/,110 calories;,6.3 ,8.2,5.6 ,12 ,997 
221053,https://www.allrecipes.com/recipe/221053/black-lemon-chicken-salad/,321 calories;,28.8 ,1.6,13.4 ,53 ,193 
221054,https://www.allrecipes.com/recipe/221054/prosciutto-wrapped-cherry-stuffed-chicken-breasts/,583 calories;,30 ,30.5,44.4 ,230 ,567 
221055,https://www.allrecipes.com/recipe/221055/green-monster-smoothie/,145 calories;,0.7 ,36,2.2 ,0 ,38 
221056,https://www.allrecipes.com/recipe/221056/strawberry-gelato/,243 calories;,8.5 ,35.6,7 ,217 ,57 
