recipe_id,recipe_url,calories,fat,carb,protein,cholesterol,sodium
255000,https://www.allrecipes.com/recipe/255000/baked-amberjack/,176 calories;,7.3 ,1.2,19.8 ,48 ,327 
255001,https://www.allrecipes.com/recipe/255001/quick-and-easy-mango-margaritas/,208 calories;,0.1 ,27.4,0.2 ,0 ,65 
255002,https://www.allrecipes.com/recipe/255002/frosted-brownie-cupcakes/,435 calories;,21.8 ,58.4,3.4 ,32 ,245 
255003,https://www.allrecipes.com/recipe/255003/chocolate-brownie-cupcake/,225 calories;,14.8 ,21.9,2.9 ,51 ,101 
255004,https://www.allrecipes.com/recipe/255004/scrumptious-strawberry-pie-bars/,315 calories;,23.4 ,25.8,1.7 ,72 ,110 
255005,https://www.allrecipes.com/recipe/255005/easy-apple-pie-bars/,250 calories;,9.6 ,39,2.9 ,34 ,120 
255006,https://www.allrecipes.com/recipe/255006/chewy-pecan-pie-bars/,263 calories;,14 ,33.2,3.4 ,54 ,102 
255007,https://www.allrecipes.com/recipe/255007/coconut-cream-pie-bars/,496 calories;,31.9 ,50.9,4.8 ,38 ,605 
255008,https://www.allrecipes.com/recipe/255008/easy-caramel-apple-pie-bars/,319 calories;,14.2 ,46.4,3.1 ,48 ,122 
255009,https://www.allrecipes.com/recipe/255009/zucchini-pie-bars/,285 calories;,11.8 ,42.5,3.2 ,31 ,86 
255010,https://www.allrecipes.com/recipe/255010/soft-hard-boiled-eggs/,72 calories;,5 ,0.4,6.3 ,186 ,71 
255011,https://www.allrecipes.com/recipe/255011/sausage-and-sweet-corn-muffins/,223 calories;,12.9 ,21.7,10.2 ,67 ,326 
255012,https://www.allrecipes.com/recipe/255012/grilled-shrimp-louie/,922 calories;,69.7 ,21.2,56.1 ,598 ,1558 
255013,https://www.allrecipes.com/recipe/255013/sausage-and-rice-stuffed-acorn-squash/,324 calories;,12.3 ,40.3,15.6 ,86 ,392 
255014,https://www.allrecipes.com/recipe/255014/salted-cashew-sweet-potato-fudge/,165 calories;,10.5 ,15.7,2.5 ,6 ,206 
255015,https://www.allrecipes.com/recipe/255015/sweet-potato-avocado-soup/,258 calories;,6.7 ,45.4,2.1 ,9 ,1225 
255016,https://www.allrecipes.com/recipe/255016/sweet-potato-creme-brulee/,750 calories;,49.7 ,68.6,5.8 ,420 ,100 
255017,https://www.allrecipes.com/recipe/255017/sweet-potato-peach-bake/,354 calories;,4.8 ,75.6,1.2 ,0 ,269 
255018,https://www.allrecipes.com/recipe/255018/sweet-potato-risotto/,743 calories;,19.6 ,128.8,9.7 ,22 ,1504 
255019,https://www.allrecipes.com/recipe/255019/special-roasted-potatoes/,162 calories;,4.7 ,27.8,3.2 ,0 ,2402 
255020,https://www.allrecipes.com/recipe/255020/chef-johns-potato-gnocchi/,411 calories;,7 ,73.6,13.3 ,98 ,597 
255021,https://www.allrecipes.com/recipe/255021/creamy-bay-scallop-spaghetti/,671 calories;,33.5 ,53.1,37.8 ,166 ,573 
255022,https://www.allrecipes.com/recipe/255022/turkey-matzo-ball-soup/,842 calories;,33.4 ,21.1,107.5 ,374 ,2529 
255023,https://www.allrecipes.com/recipe/255023/aubergine-quiche-eggplant-quiche/,334 calories;,20.3 ,17,23.2 ,141 ,1547 
255024,https://www.allrecipes.com/recipe/255024/zucchini-fenchel-suppe-zucchini-and-fennel-soup/,103 calories;,6.4 ,11.4,2.1 ,16 ,458 
255025,https://www.allrecipes.com/recipe/255025/espetinho-de-queijo-coalho-com-abacaxi-brazilian-grilled-cheese-with-pineapple/,83 calories;,3.8 ,9.6,3.3 ,11 ,168 
255026,https://www.allrecipes.com/recipe/255026/teriyaki-chicken-meatballs/,167 calories;,7.3 ,10.7,9.4 ,20 ,558 
255027,https://www.allrecipes.com/recipe/255027/japanese-beef-tongue-stir-fry/,141 calories;,9.8 ,4.7,7.9 ,47 ,1777 
255028,https://www.allrecipes.com/recipe/255028/honey-soy-sweet-potatoes/,177 calories;,6.9 ,26.6,2.1 ,0 ,288 
255029,https://www.allrecipes.com/recipe/255029/japanese-spicy-spare-ribs/,256 calories;,18.5 ,5.8,15.3 ,60 ,593 
255030,https://www.allrecipes.com/recipe/255030/sweet-miso-soup-with-baby-turnips/,178 calories;,1.9 ,33.7,4.2 ,0 ,1194 
255031,https://www.allrecipes.com/recipe/255031/chicken-and-strawberry-risotto/,450 calories;,13.6 ,52.7,19.8 ,50 ,617 
255032,https://www.allrecipes.com/recipe/255032/sardines-with-ginger/,451 calories;,25.9 ,7,33.9 ,0 ,679 
255033,https://www.allrecipes.com/recipe/255033/zucchini-kuchen-gorgeous-zucchini-cake/,853 calories;,44.1 ,105.5,13.6 ,71 ,451 
255034,https://www.allrecipes.com/recipe/255034/tomaten-chutney-fabulous-tomato-chutney/,92 calories;,0.2 ,23.2,0.7 ,0 ,237 
255035,https://www.allrecipes.com/recipe/255035/easy-bread-machine-dinner-rolls/,142 calories;,2.7 ,24.1,3.4 ,19 ,216 
255036,https://www.allrecipes.com/recipe/255036/caramel-pecan-sticky-buns/,371 calories;,24 ,39.4,3.1 ,45 ,197 
255037,https://www.allrecipes.com/recipe/255037/white-lily-light-and-fluffy-biscuits/,126 calories;,6.1 ,15.4,1.9 ,6 ,263 
255038,https://www.allrecipes.com/recipe/255038/sheet-pan-chicken-fajitas/,200 calories;,11.4 ,5.7,18.6 ,48 ,198 
255039,https://www.allrecipes.com/recipe/255039/superstar-spicy-sweet-trail-mix/,349 calories;,24.1 ,30.5,9.3 ,0 ,139 
255040,https://www.allrecipes.com/recipe/255040/awesome-apple-pie-cookies/,233 calories;,12.9 ,27.8,2.2 ,5 ,210 
255041,https://www.allrecipes.com/recipe/255041/quick-and-easy-apple-pie-cookies/,157 calories;,6.5 ,23.9,1.6 ,22 ,108 
255042,https://www.allrecipes.com/recipe/255042/apple-pie-cookies/,159 calories;,10.3 ,15,1.7 ,28 ,124 
255043,https://www.allrecipes.com/recipe/255043/lemon-crinkles/,80 calories;,3 ,12.8,0.7 ,5 ,37 
255044,https://www.allrecipes.com/recipe/255044/vegan-chocolate-coconut-cookies/,55 calories;,3.6 ,5.3,1.1 ,0 ,52 
255045,https://www.allrecipes.com/recipe/255045/moist-vegan-sugar-cookies/,173 calories;,9.4 ,20.7,1.8 ,0 ,94 
255046,https://www.allrecipes.com/recipe/255046/vegan-chocolate-almond-butter-cookies/,181 calories;,11 ,19.3,2.4 ,< 1 ,148 
255047,https://www.allrecipes.com/recipe/255047/paleo-turkey-sweet-potato-casserole-with-eggplant-and-tomato/,267 calories;,10.6 ,25.5,19.4 ,56 ,697 
255048,https://www.allrecipes.com/recipe/255048/sweet-potato-quinoa-bake/,358 calories;,17.4 ,38.6,13.3 ,17 ,334 
255049,https://www.allrecipes.com/recipe/255049/sweet-potato-holiday-cookies/,130 calories;,6.1 ,17.6,1.7 ,23 ,126 
255050,https://www.allrecipes.com/recipe/255050/lemon-polenta-biscuits/,285 calories;,14.1 ,36.4,3.5 ,36 ,145 
255051,https://www.allrecipes.com/recipe/255051/portobello-artichoke-soup/,560 calories;,46.5 ,29.1,9.7 ,150 ,1931 
255052,https://www.allrecipes.com/recipe/255052/tuscan-tomato-artichoke-soup/,232 calories;,10.6 ,24.7,10.7 ,11 ,1310 
255053,https://www.allrecipes.com/recipe/255053/vegan-coconut-brownies/,286 calories;,15 ,38.8,2.5 ,0 ,166 
255054,https://www.allrecipes.com/recipe/255054/emilys-chocolate-coconut-brownies/,314 calories;,18.1 ,37.9,2.8 ,37 ,177 
255055,https://www.allrecipes.com/recipe/255055/bonnys-decorated-coconut-brownies/,294 calories;,15.8 ,37.4,3.7 ,77 ,186 
255056,https://www.allrecipes.com/recipe/255056/southern-style-hot-water-cornbread/,237 calories;,12.1 ,27,4.9 ,47 ,464 
255057,https://www.allrecipes.com/recipe/255057/uncle-bills-hot-water-cornbread/,218 calories;,10.8 ,27.4,2.5 ,0 ,62 
255058,https://www.allrecipes.com/recipe/255058/marinated-balsamic-lamb-chops/,315 calories;,26.5 ,3.6,15.2 ,56 ,949 
255059,https://www.allrecipes.com/recipe/255059/leslies-irish-stew/,500 calories;,16 ,52.7,34.4 ,94 ,529 
255060,https://www.allrecipes.com/recipe/255060/cheesy-mini-pepper-poppers-with-sprouted-rice/,70 calories;,3.9 ,5,3.6 ,11 ,191 
255061,https://www.allrecipes.com/recipe/255061/sprouted-quinoa-savory-pilaf/,295 calories;,10 ,43.2,7.4 ,17 ,478 
255062,https://www.allrecipes.com/recipe/255062/blueberry-lemon-sprouted-rice-and-quinoa-cereal/,256 calories;,2.7 ,55.4,3.9 ,0 ,150 
255063,https://www.allrecipes.com/recipe/255063/blackberry-pomegranate-quinoa-parfait/,342 calories;,8 ,62.6,10.8 ,6 ,38 
